season,date,regular,playoffs,away_team,home_team,score_away,score_home,q1_away,q2_away,q3_away,q4_away,ot_away,q1_home,q2_home,q3_home,q4_home,ot_home,whos_favored,spread,total,away_ml,home_ml,h2_spread,h2_total,id_spread,id_total,home_won
2021,2020-12-22,True,False,gs,bkn,99,125,25,20,26,28,0,40,23,36,26,0,home,7.5,234.5,265.0,-320.0,1.0,115.0,1.0,0,True
2021,2020-12-22,True,False,lac,lal,116,109,39,17,33,27,0,19,35,24,31,0,home,2.0,219.0,115.0,-135.0,3.5,108.5,0.0,1,False
2021,2020-12-23,True,False,sa,mem,131,119,30,36,33,32,0,33,20,35,31,0,home,2.0,230.0,110.0,-130.0,5.0,117.0,0.0,1,False
2021,2020-12-23,True,False,dal,phx,102,106,22,23,26,31,0,23,30,24,29,0,home,1.5,232.5,100.0,-120.0,2.0,113.0,1.0,0,True
2021,2020-12-23,True,False,utah,por,120,100,32,33,29,26,0,25,19,24,32,0,away,1.5,226.0,-130.0,110.0,5.0,115.0,1.0,0,False
2021,2020-12-23,True,False,det,min,101,111,34,23,28,16,0,25,31,24,31,0,home,5.5,224.5,190.0,-220.0,4.5,110.0,1.0,0,True
2021,2020-12-23,True,False,atl,chi,124,104,42,41,28,13,0,29,30,20,25,0,away,2.0,234.0,-130.0,110.0,6.0,116.0,1.0,0,False
2021,2020-12-23,True,False,sac,den,124,122,25,28,36,23,12,31,29,24,28,10,home,7.5,227.5,260.0,-310.0,2.0,111.5,0.0,1,False
2021,2020-12-23,True,False,mil,bos,121,122,34,25,25,37,0,31,33,37,21,0,away,4.5,223.0,-190.0,170.0,4.0,115.0,0.0,1,True
2021,2020-12-23,True,False,wsh,phi,107,113,26,33,24,24,0,30,28,15,40,0,home,7.0,230.5,250.0,-300.0,5.5,113.5,0.0,0,True
2021,2020-12-23,True,False,mia,orl,107,113,29,24,30,24,0,27,29,23,34,0,away,4.5,219.0,-190.0,170.0,5.0,106.5,0.0,1,True
