season,date,regular,playoffs,away_team,home_team,score_away,score_home,q1_away,q2_away,q3_away,q4_away,ot_away,q1_home,q2_home,q3_home,q4_home,ot_home,whos_favored,spread,total,away_ml,home_ml,h2_spread,h2_total,id_spread,id_total,home_won
2019,2018-10-16,True,False,phi,bos,87,105,21,21,24,21,0,21,26,30,28,0,home,4.5,211.5,170.0,-200.0,1.0,106.0,1.0,0,True
2019,2018-10-16,True,False,okc,gs,100,108,23,24,32,21,0,31,26,26,25,0,home,12.0,220.5,711.0,-1100.0,4.5,108.5,0.0,0,True
2019,2018-10-17,True,False,den,lac,107,98,29,30,15,33,0,24,30,18,26,0,away,2.0,222.5,-125.0,105.0,0.5,110.5,1.0,0,False
2019,2018-10-17,True,False,dal,phx,100,121,24,22,27,27,0,37,19,27,38,0,away,2.5,212.5,-130.0,110.0,4.5,106.0,0.0,1,True
2019,2018-10-17,True,False,utah,sac,123,117,30,38,25,30,0,34,21,32,30,0,away,8.5,205.5,-400.0,317.0,1.5,106.0,0.0,1,False
2019,2018-10-17,True,False,min,sa,108,112,23,29,31,25,0,31,25,25,31,0,home,2.5,212.0,125.0,-145.0,0.5,105.0,1.0,1,True
2019,2018-10-17,True,False,no,hou,131,112,35,36,30,30,0,29,25,30,28,0,home,8.0,233.0,278.0,-345.0,9.5,114.0,0.0,1,False
2019,2018-10-17,True,False,atl,ny,107,126,24,25,35,23,0,23,49,34,20,0,home,4.0,216.5,148.0,-170.0,4.0,106.0,1.0,1,True
2019,2018-10-17,True,False,bkn,det,100,103,29,22,25,24,0,24,27,32,20,0,home,6.0,213.0,211.0,-255.0,4.0,110.5,0.0,0,True
2019,2018-10-17,True,False,mia,orl,101,104,31,20,27,23,0,25,29,25,25,0,away,2.5,208.0,-135.0,115.0,3.0,103.0,0.0,0,True
2019,2018-10-17,True,False,mil,cha,113,112,36,31,26,20,0,23,31,29,29,0,away,3.0,222.0,-165.0,144.0,2.5,114.0,0.0,1,False
2019,2018-10-17,True,False,mem,ind,83,111,16,23,19,25,0,27,29,20,35,0,home,7.5,204.5,263.0,-325.0,1.0,99.0,1.0,0,True
