season,date,regular,playoffs,away_team,home_team,score_away,score_home,q1_away,q2_away,q3_away,q4_away,ot_away,q1_home,q2_home,q3_home,q4_home,ot_home,whos_favored,spread,total,away_ml,home_ml,h2_spread,h2_total,id_spread,id_total,home_won
2018,2017-10-17,True,False,bos,cle,99,102,19,19,33,28,0,29,25,18,30,0,home,4.5,216.0,166.0,-195.0,1.5,110.0,0.0,0,True
2018,2017-10-17,True,False,hou,gs,122,121,34,28,26,34,0,35,36,30,20,0,home,9.0,231.5,364.0,-470.0,2.5,115.5,0.0,1,False
2018,2017-10-18,True,False,por,phx,124,76,29,31,38,26,0,21,14,20,21,0,away,2.5,219.5,-140.0,120.0,5.0,113.0,1.0,0,False
2018,2017-10-18,True,False,min,sa,99,107,25,24,28,22,0,32,21,34,20,0,home,1.5,203.5,105.0,-125.0,1.0,100.0,1.0,1,True
2018,2017-10-18,True,False,den,utah,96,106,30,28,25,13,0,21,28,29,28,0,home,2.5,205.0,120.0,-140.0,3.5,101.5,1.0,0,True
2018,2017-10-18,True,False,atl,dal,117,111,27,31,24,35,0,24,23,35,29,0,home,5.5,199.0,190.0,-240.0,6.0,103.5,0.0,1,False
2018,2017-10-18,True,False,no,mem,91,103,34,18,18,21,0,27,27,25,24,0,home,2.0,204.5,110.0,-130.0,0.5,100.5,1.0,0,True
2018,2017-10-18,True,False,hou,sac,105,100,26,26,23,30,0,25,23,24,28,0,away,7.0,216.5,-310.0,250.0,2.5,105.0,0.0,0,False
2018,2017-10-18,True,False,cha,det,90,102,27,18,25,20,0,29,27,26,20,0,home,2.5,202.0,125.0,-145.0,2.5,100.0,1.0,0,True
2018,2017-10-18,True,False,mia,orl,109,116,37,18,23,31,0,32,26,30,28,0,away,3.5,205.5,-170.0,145.0,4.0,100.0,0.0,1,True
2018,2017-10-18,True,False,phi,wsh,115,120,23,36,23,33,0,32,24,34,30,0,home,6.5,217.5,240.0,-300.0,6.0,108.5,0.0,1,True
2018,2017-10-18,True,False,bkn,ind,131,140,30,33,35,33,0,29,36,41,34,0,home,3.0,216.5,135.0,-155.0,1.5,112.5,1.0,1,True
2018,2017-10-18,True,False,mil,bos,108,100,24,34,18,32,0,26,27,27,20,0,home,1.5,203.0,105.0,-125.0,2.0,101.0,0.0,1,False
2018,2017-10-19,True,False,chi,tor,101,117,23,14,27,37,0,25,33,26,33,0,home,14.0,206.5,800.0,-1400.0,1.5,101.0,1.0,1,True
2018,2017-10-19,True,False,ny,okc,84,105,24,18,17,25,0,27,26,26,26,0,home,12.5,215.5,650.0,-1000.0,3.5,103.5,1.0,0,True
2018,2017-10-19,True,False,lac,lal,108,92,27,26,34,21,0,19,23,21,29,0,away,6.5,219.0,-260.0,210.0,0.0,108.5,1.0,0,False
2018,2017-10-20,True,False,lal,phx,132,130,40,30,36,26,0,36,37,26,31,0,home,3.5,220.5,140.0,-160.0,1.0,110.5,0.0,1,False
2018,2017-10-20,True,False,gs,no,128,120,26,35,37,30,0,39,25,26,30,0,away,9.0,221.0,-470.0,360.0,9.0,109.5,0.0,1,False
2018,2017-10-20,True,False,sac,dal,93,88,19,27,25,22,0,23,23,14,28,0,home,6.0,201.5,200.0,-250.0,4.0,98.5,0.0,0,False
2018,2017-10-20,True,False,utah,min,97,100,16,26,23,32,0,19,27,24,30,0,home,5.0,197.0,170.0,-200.0,1.5,101.5,0.0,2,True
