season,date,regular,playoffs,away_team,home_team,score_away,score_home,q1_away,q2_away,q3_away,q4_away,ot_away,q1_home,q2_home,q3_home,q4_home,ot_home,whos_favored,spread,total,away_ml,home_ml,h2_spread,h2_total,id_spread,id_total,home_won
2022,2021-10-19,True,False,bkn,mil,104,127,25,34,26,19,0,37,29,31,30,0,home,1.5,233.5,105.0,-125.0,2.0,114.0,1.0,0,True
2022,2021-10-19,True,False,gs,lal,121,114,32,21,30,38,0,34,25,26,29,0,home,3.5,226.5,140.0,-160.0,0.0,111.5,0.0,1,False
2022,2021-10-20,True,False,den,phx,110,98,26,25,34,25,0,20,38,24,16,0,home,6.0,224.0,200.0,-240.0,1.0,108.5,0.0,0,False
2022,2021-10-20,True,False,sac,por,124,121,24,38,38,24,0,23,26,36,36,0,home,6.5,234.0,220.0,-260.0,7.0,114.0,0.0,1,False
2022,2021-10-20,True,False,orl,sa,97,123,28,21,22,26,0,32,29,33,29,0,home,7.0,212.5,225.0,-265.0,0.0,104.0,1.0,1,True
2022,2021-10-20,True,False,hou,min,106,124,21,24,26,35,0,32,40,27,25,0,home,6.5,232.0,220.0,-260.0,3.5,113.0,1.0,0,True
2022,2021-10-20,True,False,phi,no,117,97,29,24,28,36,0,25,28,17,27,0,away,4.0,224.0,-170.0,150.0,2.5,109.0,1.0,0,False
2022,2021-10-20,True,False,okc,utah,86,107,18,24,21,23,0,27,27,29,24,0,home,14.0,221.5,750.0,-1200.0,5.0,107.0,1.0,0,True
2022,2021-10-20,True,False,bos,ny,134,138,35,23,24,34,18,29,25,32,30,22,home,2.5,220.0,120.0,-140.0,2.5,112.5,1.0,1,True
2022,2021-10-20,True,False,wsh,tor,98,83,26,31,24,17,0,18,19,22,24,0,home,2.5,223.0,120.0,-140.0,6.0,109.0,0.0,0,False
2022,2021-10-20,True,False,chi,det,94,88,14,26,31,23,0,20,24,25,19,0,away,5.0,218.0,-220.0,190.0,5.5,110.5,1.0,0,False
2022,2021-10-20,True,False,ind,cha,122,123,38,37,13,34,0,27,32,33,31,0,away,1.5,223.0,-125.0,105.0,4.0,110.5,0.0,1,True
2022,2021-10-20,True,False,cle,mem,121,132,32,29,29,31,0,32,41,21,38,0,home,7.0,218.5,240.0,-280.0,0.0,107.0,1.0,1,True
2022,2021-10-21,True,False,dal,atl,87,113,20,24,20,23,0,22,29,35,27,0,home,2.5,225.5,120.0,-140.0,1.0,110.0,1.0,0,True
