season,date,regular,playoffs,away_team,home_team,score_away,score_home,q1_away,q2_away,q3_away,q4_away,ot_away,q1_home,q2_home,q3_home,q4_home,ot_home,whos_favored,spread,total,away_ml,home_ml,h2_spread,h2_total,id_spread,id_total,home_won
2016,2015-10-27,True,False,cle,chi,95,97,17,23,28,27,0,26,20,25,26,0,home,4.0,198.5,160.0,-180.0,0.0,97.0,0.0,0,True
2016,2015-10-27,True,False,det,atl,106,94,25,23,34,24,0,25,18,23,28,0,home,7.0,196.5,255.0,-320.0,7.0,98.0,0.0,1,False
2016,2015-10-27,True,False,no,gs,95,111,35,14,26,20,0,39,20,35,17,0,home,10.5,215.0,510.0,-710.0,3.0,108.0,1.0,0,True
2016,2015-10-28,True,False,den,hou,105,85,27,26,23,29,0,21,28,14,22,0,home,10.5,211.5,510.0,-710.0,9.0,106.0,0.0,0,False
2016,2015-10-28,True,False,min,lal,112,111,22,29,37,24,0,31,29,35,16,0,home,2.5,202.5,120.0,-140.0,1.5,104.5,0.0,1,False
2016,2015-10-28,True,False,lac,sac,111,104,25,31,29,26,0,17,29,28,30,0,away,5.5,212.0,-230.0,190.0,0.5,106.0,1.0,1,False
2016,2015-10-28,True,False,dal,phx,111,95,24,30,34,23,0,22,23,21,29,0,home,6.0,203.0,210.0,-260.0,6.0,102.0,0.0,1,False
2016,2015-10-28,True,False,no,por,94,112,18,25,24,27,0,43,27,17,25,0,home,2.0,206.5,105.0,-125.0,5.0,102.0,1.0,0,True
2016,2015-10-28,True,False,cle,mem,106,76,26,27,26,27,0,10,22,23,21,0,home,5.0,189.0,185.0,-215.0,7.5,93.5,0.0,0,False
2016,2015-10-28,True,False,ny,mil,122,97,27,36,27,32,0,23,28,22,24,0,home,4.5,194.5,175.0,-205.0,5.5,98.5,0.0,1,False
2016,2015-10-28,True,False,phi,bos,95,112,26,14,27,28,0,21,30,28,33,0,home,12.5,198.0,800.0,-1300.0,4.5,98.5,1.0,1,True
2016,2015-10-28,True,False,utah,det,87,92,15,29,20,23,0,16,25,28,23,0,home,0.0,191.0,-105.0,-115.0,0.5,100.0,1.0,0,True
2016,2015-10-28,True,False,cha,mia,94,104,27,17,16,34,0,23,31,19,31,0,home,6.5,193.5,210.0,-260.0,0.5,94.0,1.0,1,True
2016,2015-10-28,True,False,chi,bkn,115,100,30,28,28,29,0,19,36,16,29,0,away,5.0,196.5,-205.0,175.0,2.5,100.5,1.0,1,False
