season,date,regular,playoffs,away_team,home_team,score_away,score_home,q1_away,q2_away,q3_away,q4_away,ot_away,q1_home,q2_home,q3_home,q4_home,ot_home,whos_favored,spread,total,away_ml,home_ml,h2_spread,h2_total,id_spread,id_total,home_won
2020,2019-10-22,True,False,no,tor,122,130,30,31,25,31,5,27,29,32,29,13,home,6.5,229.5,230.0,-280.0,6.0,113.0,1.0,1,True
2020,2019-10-22,True,False,lal,lac,102,112,25,29,31,17,0,22,40,23,27,0,away,3.5,224.0,-180.0,150.0,5.0,110.5,0.0,0,True
2020,2019-10-23,True,False,sac,phx,95,124,29,30,17,19,0,25,29,32,38,0,away,1.0,232.5,-115.0,-105.0,2.0,114.0,0.0,0,True
2020,2019-10-23,True,False,okc,utah,95,100,12,34,28,21,0,23,26,19,32,0,home,9.0,221.5,375.0,-500.0,4.5,107.0,0.0,0,True
2020,2019-10-23,True,False,wsh,dal,100,108,25,23,20,32,0,24,38,29,17,0,home,9.0,220.0,350.0,-450.0,1.0,105.5,0.0,0,True
2020,2019-10-23,True,False,ny,sa,111,120,15,36,33,27,0,22,37,24,37,0,home,11.0,214.5,525.0,-750.0,3.5,104.5,0.0,1,True
2020,2019-10-23,True,False,min,bkn,127,126,33,35,20,27,12,22,34,37,22,11,home,3.5,229.0,142.0,-165.0,5.0,112.5,0.0,1,False
2020,2019-10-23,True,False,chi,cha,125,126,28,27,40,30,0,37,26,33,30,0,away,3.5,216.5,-170.0,145.0,4.0,112.0,0.0,1,True
2020,2019-10-23,True,False,bos,phi,93,107,25,23,20,25,0,20,29,28,30,0,home,5.5,214.5,190.0,-240.0,3.5,110.5,1.0,0,True
2020,2019-10-23,True,False,cle,orl,85,94,24,17,24,20,0,28,27,16,23,0,home,9.5,211.5,400.0,-550.0,1.0,108.0,0.0,0,True
2020,2019-10-23,True,False,det,ind,119,110,27,27,29,36,0,24,31,31,24,0,home,7.0,211.0,240.0,-300.0,4.5,104.0,0.0,1,False
2020,2019-10-23,True,False,den,por,108,100,24,30,19,35,0,27,23,24,26,0,away,1.5,217.5,-120.0,100.0,1.0,106.0,1.0,0,False
2020,2019-10-23,True,False,mem,mia,101,120,32,28,24,17,0,24,30,29,37,0,home,6.5,213.0,240.0,-300.0,4.5,104.5,1.0,1,True
2020,2019-10-24,True,False,lac,gs,141,122,35,30,46,30,0,29,25,33,35,0,home,0.0,229.5,-110.0,-110.0,2.0,110.5,0.0,1,False
2020,2019-10-24,True,False,mil,hou,117,111,23,27,28,39,0,30,36,21,24,0,home,1.5,231.0,100.0,-120.0,4.5,117.5,0.0,0,False
2020,2019-10-24,True,False,atl,det,117,100,38,22,31,26,0,32,31,18,19,0,home,1.5,221.5,105.0,-125.0,0.0,110.0,0.0,0,False
2020,2019-10-25,True,False,tor,bos,106,112,21,28,33,24,0,22,28,26,36,0,home,2.5,213.0,120.0,-140.0,1.0,104.5,1.0,1,True
2020,2019-10-25,True,False,min,cha,121,99,30,28,45,18,0,32,24,25,18,0,away,5.0,225.0,-220.0,180.0,2.5,109.5,1.0,0,False
2020,2019-10-25,True,False,ny,bkn,109,113,23,28,32,26,0,32,32,30,19,0,home,8.0,228.0,280.0,-360.0,1.0,110.0,0.0,0,True
2020,2019-10-25,True,False,wsh,okc,97,85,28,24,26,19,0,24,22,24,15,0,home,8.5,218.0,300.0,-400.0,8.0,106.5,0.0,0,False
2020,2019-10-25,True,False,dal,no,123,116,27,45,23,28,0,41,23,29,23,0,home,2.0,227.0,110.0,-130.0,3.5,111.5,0.0,1,False
2020,2019-10-25,True,False,chi,mem,110,102,25,22,32,31,0,29,31,21,21,0,away,2.0,224.0,-125.0,105.0,5.5,116.0,1.0,0,False
2020,2019-10-25,True,False,phx,den,107,108,21,24,17,33,12,15,24,25,31,13,home,12.0,219.5,650.0,-1000.0,10.5,111.5,0.0,0,True
2020,2019-10-25,True,False,por,sac,122,112,25,32,37,28,0,27,30,27,28,0,away,1.0,227.5,-120.0,100.0,1.5,117.5,1.0,1,False
2020,2019-10-25,True,False,utah,lal,86,95,17,20,18,31,0,24,19,31,21,0,home,3.5,215.5,140.0,-160.0,0.0,109.5,1.0,0,True
2020,2019-10-26,True,False,lac,phx,122,130,20,35,30,37,0,26,29,36,39,0,away,10.0,225.5,-550.0,400.0,7.5,110.0,0.0,1,True
2020,2019-10-26,True,False,sac,utah,81,113,25,16,17,23,0,35,31,27,20,0,home,9.0,221.5,350.0,-450.0,2.0,107.5,1.0,0,True
2020,2019-10-26,True,False,wsh,sa,122,124,26,34,30,32,0,30,30,32,32,0,home,11.5,219.5,650.0,-1000.0,7.0,107.5,0.0,1,True
2020,2019-10-26,True,False,no,hou,123,126,24,37,39,23,0,29,32,36,29,0,home,12.0,238.5,650.0,-1000.0,8.0,116.5,0.0,1,True
2020,2019-10-26,True,False,tor,chi,108,84,24,24,36,24,0,23,17,22,22,0,away,3.0,219.5,-155.0,135.0,1.0,105.0,1.0,0,False
